a,b,add,sub,mul,inverse_a
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000001,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000002,0000000000000000000000000000000000000000000000000000000000000002,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2d,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000000000000000000000000000ffffffff,00000000000000000000000000000000000000000000000000000000ffffffff,fffffffffffffffffffffffffffffffffffffffffffffffffffffffdfffffc30,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000100000000,fffffffffffffffffffffffffffffffffffffffffffffffffffffffdfffffc2f,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000ffffffffffffffff,000000000000000000000000000000000000000000000000ffffffffffffffff,fffffffffffffffffffffffffffffffffffffffffffffffefffffffefffffc30,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000010000000000000000,0000000000000000000000000000000000000000000000010000000000000000,fffffffffffffffffffffffffffffffffffffffffffffffefffffffefffffc2f,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000ffffffffffffffffffffffffffffffff,00000000000000000000000000000000ffffffffffffffffffffffffffffffff,fffffffffffffffffffffffffffffffefffffffffffffffffffffffefffffc30,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000100000000000000000000000000000000,0000000000000000000000000000000100000000000000000000000000000000,fffffffffffffffffffffffffffffffefffffffffffffffffffffffefffffc2f,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000000ffffffffffffffffffffffffffffffffffffffffffffffff,0000000000000000ffffffffffffffffffffffffffffffffffffffffffffffff,fffffffffffffffefffffffffffffffffffffffffffffffffffffffefffffc30,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000,0000000000000001000000000000000000000000000000000000000000000000,fffffffffffffffefffffffffffffffffffffffffffffffffffffffefffffc2f,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2d,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2d,0000000000000000000000000000000000000000000000000000000000000002,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000000,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000002,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000000000002,0000000000000000000000000000000000000000000000000000000000000003,fffffffffffffffffffffffffffffffffffffffffffffffffffffffefffffc2e,0000000000000000000000000000000000000000000000000000000000000002,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,00000000000000000000000000000000000000000000000000000000ffffffff,0000000000000000000000000000000000000000000000000000000100000000,fffffffffffffffffffffffffffffffffffffffffffffffffffffffdfffffc31,00000000000000000000000000000000000000000000000000000000ffffffff,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000100000001,fffffffffffffffffffffffffffffffffffffffffffffffffffffffdfffffc30,0000000000000000000000000000000000000000000000000000000100000000,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000000ffffffffffffffff,0000000000000000000000000000000000000000000000010000000000000000,fffffffffffffffffffffffffffffffffffffffffffffffefffffffefffffc31,000000000000000000000000000000000000000000000000ffffffffffffffff,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000000000000000000010000000000000000,0000000000000000000000000000000000000000000000010000000000000001,fffffffffffffffffffffffffffffffffffffffffffffffefffffffefffffc30,0000000000000000000000000000000000000000000000010000000000000000,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,00000000000000000000000000000000ffffffffffffffffffffffffffffffff,0000000000000000000000000000000100000000000000000000000000000000,fffffffffffffffffffffffffffffffefffffffffffffffffffffffefffffc31,00000000000000000000000000000000ffffffffffffffffffffffffffffffff,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000000000000000000100000000000000000000000000000000,0000000000000000000000000000000100000000000000000000000000000001,fffffffffffffffffffffffffffffffefffffffffffffffffffffffefffffc30,0000000000000000000000000000000100000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001
0000000000000000000000000000000000000000000000000000000000000001,0000000000000000ffffffffffffffffffffffffffffffffffffffffffffffff,0000000000000001000000000000000000000000000000000000000000000000,fffffffffffffffefffffffffffffffffffffffffffffffffffffffefffffc31,0000000000000000ffffffffffffffffffffffffffffffffffffffffffffffff,0000000000000000000000000000000000000000000000000000000000000001
